"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"dttma","POSIXct, POSIXt",634,0,632,NA,NA,2,"1746449920",NA,0.998407785926818,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po01","ordered, factor",631,0.00473186119873817,8,NA,NA,159,"7",NA,0.805970449139921,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po02","ordered, factor",630,0.00630914826498423,8,NA,NA,211,"7",NA,0.768349710254472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po03","ordered, factor",629,0.00788643533123028,8,NA,NA,140,"4",NA,0.831263696128561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si01","ordered, factor",632,0.00315457413249211,7,NA,NA,350,"7",NA,0.611595697804839,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si02","ordered, factor",630,0.00630914826498423,8,NA,NA,252,"7",NA,0.7254119425548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si03","ordered, factor",630,0.00630914826498423,8,NA,NA,195,"7",NA,0.784273116654069,NA,NA,NA,NA,NA,NA,NA,NA,NA
"it01","ordered, factor",631,0.00473186119873817,7,NA,NA,560,"7",NA,0.205971956068023,NA,NA,NA,NA,NA,NA,NA,NA,NA
"it02","ordered, factor",632,0.00315457413249211,8,NA,NA,536,"7",NA,0.271175492709502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"it03","ordered, factor",632,0.00315457413249211,8,NA,NA,539,"7",NA,0.264270549591412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ie01","ordered, factor",193,0.695583596214511,6,NA,NA,441,NA,NA,0.554914225885259,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac01","ordered, factor",632,0.00315457413249211,7,NA,NA,264,"7",NA,0.701755527960263,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac02","ordered, factor",632,0.00315457413249211,8,NA,NA,396,"7",NA,0.568613803877584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac03","ordered, factor",630,0.00630914826498423,8,NA,NA,379,"7",NA,0.59066263542454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac04","ordered, factor",632,0.00315457413249211,8,NA,NA,584,"7",NA,0.14440794744432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai01","ordered, factor",632,0.00315457413249211,7,NA,NA,250,"7",NA,0.689628064412754,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai02","ordered, factor",632,0.00315457413249211,8,NA,NA,191,"5",NA,0.781705656144849,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai03","ordered, factor",632,0.00315457413249211,8,NA,NA,204,"7",NA,0.737016303477007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai04","ordered, factor",632,0.00315457413249211,8,NA,NA,194,"6",NA,0.757200368530684,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iv01","ordered, factor",632,0.00315457413249211,8,NA,NA,161,"5",NA,0.812905584041019,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iv02","ordered, factor",632,0.00315457413249211,8,NA,NA,167,"4",NA,0.822524435186669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iv03","ordered, factor",633,0.00157728706624606,8,NA,NA,142,"5",NA,0.836588975489719,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bd01","ordered, factor",629,0.00788643533123028,4,NA,NA,495,"yes",NA,0.34907908937648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bd02","numeric",626,0.0126182965299685,111,29.2044728434505,19,19,NA,31.0052338156264,NA,0,242,242,2.02722587068073,10.3781688368739,6.08668861150088,15.6046705560672,NA,NA
"bd03","numeric",626,0.0126182965299685,20,4.29233226837061,4,4,NA,5.48445121336867,NA,0,104,104,12.2870840094859,62.9024294764349,200.057128830441,512.893920988992,NA,NA
"bd04","integer",573,0.0962145110410095,248,121.380453752181,80,80,NA,138.531616781316,NA,-30,855,885,2.33466035315434,11.4374182795715,6.50701051443909,15.9662599223552,NA,NA
"de01","factor",634,0,4,NA,NA,377,"woman",NA,0.494377494054076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de02","numeric",633,0.00157728706624606,54,48.6240126382306,50,50,NA,13.4958101214889,NA,18,70,52,-0.448193134729876,-2.30720960621595,-0.803258811847599,-2.07073631663957,NA,NA
