"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"dttma","character",1000,0,1000,NA,NA,2,"2025-05-08 11:32:11",NA,0.998998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po01","ordered, factor",989,0.011,8,NA,NA,270,"7",NA,0.78138389831115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po02","ordered, factor",987,0.013,8,NA,NA,279,"6",NA,0.788099395484767,NA,NA,NA,NA,NA,NA,NA,NA,NA
"po03","ordered, factor",994,0.006,8,NA,NA,269,"6",NA,0.789181770704711,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si01","ordered, factor",991,0.009,8,NA,NA,271,"6",NA,0.789283165034249,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si02","ordered, factor",989,0.011,8,NA,NA,295,"6",NA,0.785111453490928,NA,NA,NA,NA,NA,NA,NA,NA,NA
"si03","ordered, factor",992,0.008,8,NA,NA,285,"6",NA,0.783333197840791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"it01","ordered, factor",992,0.008,8,NA,NA,276,"6",NA,0.78587165062435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"it02","ordered, factor",991,0.009,8,NA,NA,266,"6",NA,0.791311510964982,NA,NA,NA,NA,NA,NA,NA,NA,NA
"it03","ordered, factor",991,0.009,8,NA,NA,259,"6",NA,0.79402615466545,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ie01","ordered, factor",991,0.009,8,NA,NA,285,"6",NA,0.7842326651264,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac01","ordered, factor",989,0.011,8,NA,NA,294,"6",NA,0.785160527174041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac02","ordered, factor",995,0.005,8,NA,NA,289,"6",NA,0.781483295876367,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac03","ordered, factor",993,0.007,8,NA,NA,289,"6",NA,0.777795018300308,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ac04","ordered, factor",982,0.018,8,NA,NA,252,"5",NA,0.785547181237841,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai01","ordered, factor",981,0.019,8,NA,NA,285,"6",NA,0.777764269333441,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai02","ordered, factor",985,0.015,8,NA,NA,270,"6",NA,0.789835347470947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai03","ordered, factor",984,0.016,8,NA,NA,283,"6",NA,0.788087034833763,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ai04","ordered, factor",994,0.006,8,NA,NA,269,"6",NA,0.784451173843868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iv01","ordered, factor",994,0.006,8,NA,NA,266,"6",NA,0.790780902720144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iv02","ordered, factor",991,0.009,8,NA,NA,251,"6",NA,0.786305813878896,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iv03","ordered, factor",985,0.015,8,NA,NA,290,"6",NA,0.780868355278415,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bd01","ordered, factor",987,0.013,4,NA,NA,754,"yes",NA,0.365259005367652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bd02","integer",993,0.007,34,16.4420946626385,16,16,NA,5.1418311782895,NA,1,35,34,-0.080517955866099,-0.518700119756487,-0.055220937848973,-0.178045593518939,NA,NA
"bd03","integer",986,0.014,9,3.7657200811359,4,4,NA,1.44997158688857,NA,1,8,7,0.124153530109542,0.796986840030061,-0.23795630845486,-0.764532936055858,NA,NA
"bd04","Date",997,0.003,546,NA,NA,8,"19629",NA,0.99763281821392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de01","factor",985,0.015,4,NA,NA,574,"women",NA,0.487994022005205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de02","integer",992,0.008,53,39.9173387096774,40,40,NA,9.60297747375503,NA,18,70,52,0.0709810955450702,0.457033648754794,-0.250915132756707,-0.808605349289359,NA,NA
