"dttma","po01","po02","po03","si01","si02","si03","it01","it02","it03","ie01","ac01","ac02","ac03","ac04","ai01","ai02","ai03","ai04","iv01","iv02","iv03","bd01","bd02","bd03","bd04","de01","de02"
"2025-05-08 17:48:28","6","3","5","6","6","5","6","3","5","5","6","6","5","7","7","5","5","6","6","5","6","yes",18,2,2025-04-02,"women",40
"2025-05-06 11:31:43","6","6","5","5","5","5","7","7","7","7","5","7","7","7","6","6","7","7","3","6","4","yes",18,4,2025-01-08,"man",36
"2025-05-07 17:58:03","7","6","7","4","5","6","7","6","5","6","5","6","5","6","5","5","5","5","6","3","6","yes",21,5,2023-11-03,"women",18
"2025-05-18 14:13:04","7","7","7","6","6","5","6","6","4","7","4","4","5","5","5","4","7","4","6","7","6","no",22,5,2024-07-25,"man",44
"2025-05-18 17:20:24","5","4","5","7","6","7","5",NA,"7","5","5","6","6","6","6","3","5","5","3","6","6","yes",16,2,2023-05-11,"man",36
"2025-05-09 17:45:42","5","5",NA,"6","7","5","5","2","4","6","4","6","6","6","4","6","5","5","6","6","6","yes",4,1,2024-07-04,"women",46
"2025-05-10 09:29:27","5","6","6","6","7","7","7","6","3","4","6","5","7","7","6","6","5","7","6","7","6","no",23,7,2024-04-04,"man",22
"2025-05-14 09:45:27","4","7","7","7","5","5","5","3","6","3","6","7","5","5","5","7","6","6","5","6","6","yes",14,5,2024-07-26,"man",55
"2025-05-14 16:04:39","3","4","4","2","3","4","6","5","6","6","4","3","4","3","5","5","5","4","6","5","6","yes",8,1,2024-04-17,"man",45
"2025-05-18 08:57:13","7","5","6","7","3","7","4","5","6","6","6","4","7","6","5","4","5","7","7","7","4","yes",14,3,2023-12-30,"women",36
"2025-05-12 10:26:01","4","4","2","6","6","6","4","5","6","7","2","6","5","6","6","4","2","4","6","6","5","yes",6,3,2023-06-07,"women",39
"2025-05-08 09:57:21","5","5","6","4","2",NA,"4","4","5","3","5","4","6","5","6","5","5","4","2","3","5","no",17,4,2025-03-22,"man",40
"2025-05-14 13:15:44","5","5","2","3","5","5","4","5","3","5","5","5","5","6","2","3","6","5","5","4","5","no",9,2,2024-10-02,"women",36
"2025-05-11 14:01:29","6","6","3","5","7","5","4","5","6","4","5","6","5","5","6","3","3","6","3","2","6","yes",12,6,2024-06-27,"women",46
"2025-05-13 09:04:59","4","7","5","5","3","4","7","6","6","3","5","5","3","6","3","5","5","2","5","4","5","no",15,4,2024-06-29,"women",52
"2025-05-05 13:19:20","7","7","7","6","6","6","6","5","6",NA,"7","6","7","7","5","5","6","6","5","3","6","yes",32,7,2024-11-18,"women",35
"2025-05-17 14:38:16","5","5","6","6","6","7","6","6","5","7","7","7","5","5","5","4","5","5","6","6","5","yes",15,4,2024-05-17,"man",50
"2025-05-12 08:21:50","6","5","4","5","3","6","6","5","5","4","3","3","5","4","7","5","6","5","7","5","5","yes",14,5,2024-11-18,"man",33
"2025-05-17 15:59:33","5","4","6","6","7","6","5","6","5","6","3","6","6","4","2","4","6","4","4","4","6","no",19,5,2024-03-14,"man",45
"2025-05-14 09:29:38","7","3","7","4","5","6","3","6","3","7","5","7","6","7","7","6","5","4","5","6","6","yes",17,5,2024-12-24,"women",50
"2025-05-11 12:22:24","7","7","7","2","2","5","7","6","7","7","7","7","6","6","7","7","7","7","7","7","7","yes",19,4,2024-05-18,"women",28
"2025-05-12 14:53:17","4","3","3","2","5","2","7","7","4","4","4","5","6","5","2","3","3","5","4","3","3","no",13,4,2024-12-11,"women",48
"2025-05-17 15:57:17","5","5","5","5","6","4","4","4","4","4","3","4","6","5","4","2","5","5","4","6","5","no",15,2,2024-11-02,"man",25
"2025-05-06 14:48:40","6","7","7","6","7","6","4","4","4","7","4",NA,"5","5","4","3","1","1","6","4","6","yes",22,5,2023-11-16,"man",42
"2025-05-05 10:15:36","4","4","6","3","4","4","6","4","5","7","5","5","5","7",NA,"6","5","4","5","4","4","yes",15,3,2023-12-19,"women",41
"2025-05-12 17:41:35","7","5","7","4","2","5","5","4","7","6","7","7","6","7","6","6","4","7","4","5","6","yes",25,3,2023-11-22,"man",44
"2025-05-12 08:55:04","7","7","6","4","6","5","7","3","6","5","4","7","6","5","5","6","6","7",NA,"5","7","no",20,4,2024-09-09,"women",28
"2025-05-15 08:45:21","3","7","7","7","6","5","5","7","7","7","6","6","6","3","7","6","6","6","5","6","7","yes",26,5,2024-10-14,"man",36
"2025-05-13 17:10:58","4","6","6","4","5","5","7","5","5","6","5","5","6","4","4","3","2","3","6","7","6","yes",20,5,2025-04-09,"man",47
"2025-05-06 17:07:10","4","4","4","6","6","5","6","5","4","6","6","4","7","7","4","3","4","5","6","4","7","yes",21,6,2025-04-29,"women",53
"2025-05-17 14:50:35","7","4","4","3","4","4","5","3","5",NA,"7","4","6","7","5","4","6","3","3","2","4","yes",12,3,2025-03-22,"women",39
"2025-05-06 08:15:38","6","5","5","5","5","5","2","3","6","6","7","2","5","4","4","6","2","4","4","1","6","yes",17,5,2024-04-27,"women",31
"2025-05-13 11:14:40","5","4","4","5","5","6","6","5","5","6","3","7","3","5","3","5","4","1","5","6","4","yes",14,1,2025-04-05,"women",37
"2025-05-18 12:09:05",NA,"4","5","5","7","4",NA,"6","6","6","6","5","6","6","5","3","2","4","5","4","6","yes",6,3,2025-01-02,"man",33
"2025-05-17 13:14:08","3","4","5","2","6","4","5","5","4","4","7","6","7","7","6","5","5","6","6","4","6","yes",11,4,2023-08-14,"man",52
